commit,duration,Original,AllRandom,AllInOrder,GreedyCoverAll,AffectedRandom,HGSAffected,GreedyCoverAffected,HGSAll,Alpha,Rocket,GreedyTimeAll,Original_ms,AllRandom_ms,AllInOrder_ms,GreedyCoverAll_ms,AffectedRandom_ms,HGSAffected_ms,GreedyCoverAffected_ms,HGSAll_ms,Alpha_ms,Rocket_ms,GreedyTimeAll_ms
c5045fb20d4565245bbe9a59d7ac8cd26546bbd9,379932,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
b80cac34004425aa1a23d424f2ee68b5a2983d95,379932,43,28,347,1,3,1,132,6,0,235,236,93716,13954,203939,2361,3391,516,51494,15356,0,50650,50992
a67f1e25916660294afb7c0a37aac9272c10041c,379932,363,192,57,481,253,34,451,213,367,434,434,221387,96257,17073,277407,141903,11190,268354,166530,209277,141502,141502
a455e6b102d4560c2e432bf108899abc93d6c191,379932,6,24,337,63,1,0,132,88,0,233,233,41403,9637,194122,34381,3114,0,51494,98867,0,50006,50006
81924b64827aaafab3b45ee234c516f298e8538d,379932,428,305,302,224,26,0,205,289,25,310,310,245949,190242,187607,156019,8221,0,97548,188900,7824,74583,74583
dd7db3d43ec3baa409eb2c18b673a3c34b58abbc,379932,291,217,305,373,0,0,201,300,0,265,265,197596,105897,188401,184390,0,0,96470,192323,0,59894,59894
adfcaaf1caac866e245c44b517018396b7321b94,379932,464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,261260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7bcacba6b34f88087d0157fd4250a6b2682af0f9,379932,148,82,1,106,20,32,420,44,0,145,147,150699,75066,311,55881,5618,13780,215101,64240,0,25508,26024
495015f0110ddf71c1662f62662aabbecc549838,379932,291,26,190,243,5,5,314,93,5,347,347,197596,15748,143600,111316,1696,1696,139220,100953,1696,93351,93351
3acfe6551d5f892af45751a16af461138758537f,379932,390,48,150,1,6,48,317,7,0,160,160,231081,20689,131019,8,4761,40517,140492,18958,0,32080,32080
541dbb2b6e0db7090914b2e58ca3dea395fc357e,379932,560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,379932,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9015a0df344128eaa2ac703d11eb524416964866,379932,6,149,393,169,138,264,115,302,11,117,119,41403,120500,240206,81772,70543,172840,45807,188831,3627,23081,23315
0e08c74c525fd5f2460acfcdca655fc0963e801c,379932,354,473,393,56,145,386,112,302,11,117,119,218189,269662,240206,29890,88485,213581,45033,188831,3627,23081,23315
30df08c8a5735be6087355e772e5353881613043,379932,47,11,137,1,13,266,0,312,0,55,55,98608,10334,127139,487,4789,177264,0,236502,0,9418,9418
c9e2836989a17cf788e9d0e3564d12da2f07bb87,379932,509,291,390,156,389,264,127,312,196,62,62,310964,175590,239273,117389,208315,174833,56487,236737,134013,8279,8279
8d3e6368af4b0de4b31902d8e713f367f0e54784,379932,171,400,390,55,217,264,124,312,112,62,62,158901,237745,239273,30631,160563,174833,55707,236737,49843,8279,8279
aa0c95d6d73702c6e52cebfab7e550951b3ca3cd,379932,8,163,166,33,13,332,193,379,19,101,101,44994,113841,136137,20338,4560,240142,94312,254344,6025,20919,20919
2768e7df741014d6ef648d4dfe909aa548ec35bc,379932,31,41,1,196,171,24,165,180,19,101,101,78343,60252,311,113072,137742,36447,89366,153881,6025,20919,20919
eb71e8c361d70b2d3754cbbebf1a649f9becec3e,379932,68,87,1,62,63,15,165,94,19,101,101,118212,43808,311,32643,37808,28267,89366,102759,6025,20919,20919
0904c5c770e10ff026ba13d05fd3e03f7bba2087,379932,17,10,1,14,34,7,131,94,3,75,75,59068,3920,311,7731,17647,2003,51183,102759,567,13585,13585
513f0c51496847321bde41b5108973a950f4ff6f,379932,33,7,68,12,25,5,5,18,0,52,55,80964,2229,82371,8758,8921,1573,4784,9915,0,8961,9665
164a4db058d3f3c2ae78c64a48275ef2d47bde9a,379932,21,7,56,5,23,4,133,10,0,69,70,64793,2895,69895,2476,13315,6852,51764,16198,0,10219,10333
fbc1894cb26ab973d5726a73d8b044fcc1cfe525,379932,1,226,209,15,93,223,292,212,12,455,455,22436,144582,149510,6395,54309,152381,132378,161408,6303,170159,170159
25da14fbfbfe4f939ab8e144568e6f5dd4bcf76f,379932,0,10,56,4,1,22,140,18,0,52,55,0,2453,69895,1234,213,6845,55304,9915,0,8961,9665
5e18263b11d1f490dfc611b308697ced6375a0e3,379932,2,221,346,185,451,34,156,25,185,492,492,26397,106673,205326,142584,257360,35395,74325,44744,142584,222774,222774
43d01043fb8a443f95766f8ef5d95eeba13a4dd2,379932,561,281,9,495,62,38,491,158,25,264,264,379932,141514,2908,279731,43838,16290,278378,144260,17677,62805,62805
6536dbd32faa968259cebf3cf5cef98a3a13bc12,379932,519,428,131,440,306,270,364,316,0,221,225,325283,224822,121833,230694,145030,155385,133766,168338,0,50077,51430
